Date,Precipitation,Precip_6M,SPI_6M,Drought_Class
31-01-2014,0.046,321.983,0.038635586,Normal
28-02-2014,0.021,257.903,-0.233362139,Normal
31-03-2014,0.562,114.242,-1.090613364,Moderate Drought
30-04-2014,33.388,41.908,-1.925493791,Severe Drought
31-05-2014,166.723,201.083,-0.517030876,Normal
30-06-2014,58.605,259.345,-0.226757425,Normal
31-07-2014,118.127,377.426,0.245622379,Normal
31-08-2014,166.782,544.187,0.766533213,Normal
30-09-2014,78.261,621.886,0.973685116,Normal
31-10-2014,162.544,751.042,1.284173241,Moderately Wet
30-11-2014,29.025,613.344,0.951755713,Normal
31-12-2014,10.515,565.254,0.824487129,Normal
31-01-2015,0,447.127,0.478778593,Normal
28-02-2015,0,280.345,-0.13331938,Normal
31-03-2015,23.86,225.944,-0.38680787,Normal
30-04-2015,32.19,95.59,-1.254082926,Moderate Drought
31-05-2015,127.267,193.832,-0.557136604,Normal
30-06-2015,95.779,279.096,-0.13873948,Normal
31-07-2015,32.537,311.633,-0.00262273,Normal
31-08-2015,76.769,388.402,0.284135975,Normal
30-09-2015,104.301,468.843,0.546463622,Normal
31-10-2015,62.674,499.327,0.638095123,Normal
30-11-2015,22.241,394.301,0.304535679,Normal
31-12-2015,3.559,302.081,-0.041534668,Normal
31-01-2016,0,269.544,-0.180752045,Normal
29-02-2016,0.732,193.507,-0.558958868,Normal
31-03-2016,8.821,98.027,-1.231444468,Moderate Drought
30-04-2016,17.181,52.534,-1.753785191,Severe Drought
31-05-2016,98.557,128.85,-0.975891858,Normal
30-06-2016,118.572,243.863,-0.299045118,Normal
31-07-2016,145.907,389.77,0.288885029,Normal
31-08-2016,62.673,451.711,0.493243129,Normal
30-09-2016,89.228,532.118,0.73267608,Normal
31-10-2016,48.314,563.251,0.819037637,Normal
30-11-2016,11.614,476.308,0.569254731,Normal
31-12-2016,3.684,361.42,0.1880931,Normal
31-01-2017,0,215.513,-0.44015584,Normal
28-02-2017,0,152.84,-0.806591629,Normal
31-03-2017,0.52,64.132,-1.594967277,Severe Drought
30-04-2017,12.081,27.899,-2.215182691,Extreme Drought
31-05-2017,101.247,117.532,-1.063873007,Moderate Drought
30-06-2017,91.813,205.661,-0.492232832,Normal
31-07-2017,77.508,283.169,-0.121125254,Normal
31-08-2017,76.479,359.648,0.181619878,Normal
30-09-2017,180.09,539.218,0.752653181,Normal
31-10-2017,148.844,675.981,1.10828434,Moderately Wet
30-11-2017,5.978,580.712,0.866130406,Normal
31-12-2017,0.495,489.394,0.608649442,Normal
31-01-2018,0,411.886,0.364167965,Normal
28-02-2018,0.961,336.368,0.094512309,Normal
31-03-2018,8.178,164.456,-0.731474165,Normal
30-04-2018,31.971,47.583,-1.830022723,Severe Drought
31-05-2018,143.908,185.513,-0.604480075,Normal
30-06-2018,137.065,322.083,0.039029798,Normal
31-07-2018,85.812,407.895,0.350784731,Normal
31-08-2018,66.737,473.671,0.561230714,Normal
30-09-2018,59.549,525.042,0.712593821,Normal
31-10-2018,77.195,570.266,0.838068767,Normal
30-11-2018,15.342,441.7,0.461527237,Normal
31-12-2018,3.704,308.339,-0.015948621,Normal
31-01-2019,0,222.527,-0.404090176,Normal
28-02-2019,0,155.79,-0.787135646,Normal
31-03-2019,13.214,109.455,-1.130556198,Moderate Drought
30-04-2019,27.988,60.248,-1.645476891,Severe Drought
31-05-2019,40.202,85.108,-1.356704095,Moderate Drought
30-06-2019,132.304,213.708,-0.44956991,Normal
31-07-2019,99.672,313.38,0.004405942,Normal
31-08-2019,100.969,414.349,0.372384407,Normal
30-09-2019,161.598,562.733,0.817626298,Normal
31-10-2019,305.001,839.746,1.478315147,Moderately Wet
30-11-2019,26.473,826.017,1.449135225,Moderately Wet
31-12-2019,4.596,698.309,1.161842594,Moderately Wet
31-01-2020,0,598.637,0.913536302,Normal
29-02-2020,0,497.668,0.633203888,Normal
31-03-2020,2.515,338.585,0.102979484,Normal
30-04-2020,55.586,89.17,-1.315865045,Moderate Drought
31-05-2020,96.102,158.799,-0.767562171,Normal
30-06-2020,123.352,277.555,-0.145449715,Normal
31-07-2020,145.772,423.327,0.402063492,Normal
31-08-2020,90.346,513.673,0.679956394,Normal
30-09-2020,195.349,706.507,1.181234646,Moderately Wet
31-10-2020,169.616,820.537,1.437403456,Moderately Wet
30-11-2020,1.162,725.597,1.225846581,Moderately Wet
31-12-2020,3.222,605.467,0.931359553,Normal
31-01-2021,2.371,462.066,0.525566071,Normal
28-02-2021,0,371.72,0.225304448,Normal
31-03-2021,5.228,181.599,-0.627277442,Normal
30-04-2021,55.546,67.529,-1.552687332,Severe Drought
31-05-2021,255.583,321.95,0.038505478,Normal
30-06-2021,116.551,435.279,0.440934747,Normal
31-07-2021,189.028,621.936,0.973812909,Normal
31-08-2021,63.263,685.199,1.13052953,Moderately Wet
30-09-2021,73.641,753.612,1.289994767,Moderately Wet
